"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0500000US42095","Northampton County, Pennsylvania","313628","null","*****","*****","234506","null","3079","null","17778","null","2269","null","404","491","null","null","9628","null","1063","null","92","null","154","null","24048","4524","null","null","27172","4618","null","null","16148","2806","null","null","11024","null","2884","null",
"0500000US42097","Northumberland County, Pennsylvania","91266","null","*****","*****","82294","null","1643","null","2854","null","530","null","20","31","null","null","167","null","162","null","0","null","189","null","2322","1482","null","null","3609","1676","null","null","2395","1725","null","null","1214","null","507","null",
"0500000US42101","Philadelphia County, Pennsylvania","1576251","null","*****","*****","548638","null","6876","null","619248","null","11061","null","4012","1887","null","null","118209","null","2613","null","1548","null","1306","null","151699","13869","null","null","132897","13251","null","null","70044","9931","null","null","62853","null","8027","null",
"0500000US42107","Schuylkill County, Pennsylvania","143264","null","*****","*****","126825","null","984","null","3832","null","797","null","32","58","null","null","844","null","306","null","0","null","189","null","1812","877","null","null","9919","1612","null","null","6212","1490","null","null","3707","null","1204","null",
"0500000US42111","Somerset County, Pennsylvania","73627","null","*****","*****","68725","null","776","null","1950","null","524","null","46","96","null","null","80","null","81","null","12","null","23","null","381","368","null","null","2433","816","null","null","1254","709","null","null","1179","null","482","null",
"0500000US42125","Washington County, Pennsylvania","209470","null","*****","*****","187580","null","1853","null","6914","null","1056","null","0","189","null","null","2089","null","740","null","9","null","17","null","2554","1096","null","null","10324","2068","null","null","5758","1677","null","null","4566","null","1208","null",
"0500000US42129","Westmoreland County, Pennsylvania","353057","null","*****","*****","324006","null","2046","null","8614","null","1489","null","157","144","null","null","3161","null","540","null","45","null","79","null","1679","930","null","null","15395","2908","null","null","8123","2158","null","null","7272","null","1725","null",
"0500000US42133","York County, Pennsylvania","458696","null","*****","*****","373822","null","2985","null","30498","null","2392","null","568","469","null","null","7042","null","636","null","274","null","391","null","17132","3766","null","null","29360","3983","null","null","17646","3295","null","null","11714","null","2067","null",
"0500000US44003","Kent County, Rhode Island","170715","null","*****","*****","145902","null","1912","null","3703","null","1008","null","302","387","null","null","3446","null","1277","null","376","null","522","null","3559","1973","null","null","13427","2311","null","null","8014","2129","null","null","5413","null","1487","null",
"0500000US44005","Newport County, Rhode Island","85264","null","*****","*****","72362","null","1165","null","2472","null","1048","null","21","38","null","null","432","null","501","null","0","null","232","null","2617","1467","null","null","7360","1624","null","null","1901","973","null","null","5459","null","1452","null",
"0500000US44007","Providence County, Rhode Island","658221","null","*****","*****","393737","null","5783","null","46222","null","5626","null","2572","901","null","null","26221","null","1403","null","931","null","662","null","88655","7401","null","null","99883","8789","null","null","75755","8185","null","null","24128","null","4703","null",
